id,label
1_2522_2_head,1
0_1812_2_helmet,0
1_137_3_head,1
1_2240_3_head,1
0_1345_3_helmet,0
1_3221_2_head,1
1_4664_head,1
1_6043_3_head,1
0_4415_3_helmet,0
1_3543_3_head,1
1_4402_head,1
0_5140_3_helmet,0
1_4386_3_head,1
1_7022_3_head,1
0_886_1_helmet,0
0_472_1_helmet,0
0_339_3_helmet,0
0_427_1_helmet,0
0_465_2_helmet,0
1_3543_2_head,1
1_3952_head,1
0_891_2_helmet,0
0_2800_3_helmet,0
1_4386_2_head,1
1_4403_head,1
0_393_3_helmet,0
0_879_1_helmet,0
0_430_2_helmet,0
0_2855_3_helmet,0
1_7984_3_head,1
1_3574_2_head,1
1_2768_2_head,1
0_1368_2_helmet,0
0_4364_3_helmet,0
0_1434_3_helmet,0
1_2515_3_head,1
0_1397_2_helmet,0
0_1461_3_helmet,0
1_7268_3_head,1
1_3216_2_head,1
0_341_2_helmet,0
1_891_3_head,1
0_843_3_helmet,0
0_3685_3_helmet,0
1_2768_3_head,1
1_3574_3_head,1
0_314_2_helmet,0
1_7777_3_head,1
0_356_1_helmet,0
1_3709_2_head,1
1_2515_2_head,1
0_303_1_helmet,0
1_2129_3_head,1
0_1543_3_helmet,0
1_4292_2_head,1
0_4213_3_helmet,0
0_5713_3_helmet,0
1_2354_2_head,1
0_5746_3_helmet,0
1_7136_3_head,1
1_741_3_head,1
1_3457_3_head,1
0_274_1_helmet,0
0_2258_3_helmet,0
1_6157_3_head,1
1_3335_2_head,1
1_1792_3_head,1
1_2690_head,1
0_221_1_helmet,0
1_3148_3_head,1
0_961_3_helmet,0
1_5591_3_head,1
0_263_2_helmet,0
1_1961_2_head,1
1_3458_head,1
1_2436_2_head,1
1_6448_3_head,1
0_934_3_helmet,0
0_6008_3_helmet,0
0_236_2_helmet,0
1_2039_head,1
0_5037_3_helmet,0
0_1298_3_helmet,0
1_1956_2_head,1
0_5062_3_helmet,0
1_2401_2_head,1
0_4996_3_helmet,0
1_7663_3_head,1
0_4562_3_helmet,0
0_4969_3_helmet,0
0_1232_3_helmet,0
1_4156_head,1
0_1267_3_helmet,0
1_3302_2_head,1
0_1591_2_helmet,0
1_985_3_head,1
0_547_2_helmet,0
0_2922_3_helmet,0
1_2363_2_head,1
1_2038_head,1
0_512_2_helmet,0
1_776_3_head,1
0_2977_3_helmet,0
1_3302_3_head,1
1_4949_3_head,1
0_919_2_helmet,0
0_2988_3_helmet,0
0_550_1_helmet,0
1_6602_3_head,1
0_6786_3_helmet,0
0_3029_3_helmet,0
0_505_1_helmet,0
1_4157_head,1
1_1186_3_head,1
1_6743_3_head,1
0_5147_3_helmet,0
1_4808_3_head,1
1_3243_3_head,1
0_1317_3_helmet,0
0_1815_2_helmet,0
0_4819_3_helmet,0
1_4199_3_head,1
1_2540_3_head,1
1_4808_2_head,1
0_394_3_helmet,0
0_462_2_helmet,0
0_2807_3_helmet,0
0_896_2_helmet,0
0_437_2_helmet,0
0_6609_3_helmet,0
0_2459_3_helmet,0
0_881_1_helmet,0
1_7722_3_head,1
0_475_1_helmet,0
1_2540_2_head,1
0_3159_3_helmet,0
1_1281_1_head,1
0_869_2_helmet,0
0_420_1_helmet,0
0_1433_3_helmet,0
1_162_3_head,1
1_6509_3_head,1
1_6987_3_head,1
1_2577_2_head,1
0_1466_3_helmet,0
0_1892_3_helmet,0
1_2215_3_head,1
0_1499_3_helmet,0
1_2068_2_head,1
1_1102_head,1
0_4363_3_helmet,0
0_1838_3_helmet,0
0_5663_3_helmet,0
1_989_1_head,1
1_3998_3_head,1
1_3263_head,1
1_3009_2_head,1
0_351_1_helmet,0
1_7077_3_head,1
1_2215_2_head,1
0_3628_3_helmet,0
0_304_1_helmet,0
0_2328_3_helmet,0
0_844_3_helmet,0
1_1103_head,1
1_3998_2_head,1
1_3262_head,1
0_6178_3_helmet,0
1_3516_2_head,1
0_346_2_helmet,0
1_6774_3_head,1
0_811_3_helmet,0
0_3682_3_helmet,0
0_313_2_helmet,0
0_4214_3_helmet,0
1_2336_3_head,1
0_1218_2_helmet,0
1_3648_2_head,1
0_5741_3_helmet,0
1_3435_3_head,1
1_2629_3_head,1
1_4490_head,1
1_3551_head,1
1_4592_2_head,1
1_6135_3_head,1
1_3357_2_head,1
1_7329_3_head,1
0_264_2_helmet,0
1_5291_3_head,1
1_3648_3_head,1
0_592_3_helmet,0
1_1903_3_head,1
0_231_2_helmet,0
0_933_3_helmet,0
0_273_1_helmet,0
1_4592_3_head,1
1_4491_head,1
0_538_3_helmet,0
0_226_1_helmet,0
1_2629_2_head,1
1_3435_2_head,1
0_999_3_helmet,0
1_2131_head,1
0_1235_3_helmet,0
1_3402_2_head,1
0_1260_3_helmet,0
0_1569_2_helmet,0
0_3466__helmet,0
0_5030_3_helmet,0
0_4530_3_helmet,0
1_2463_3_head,1
0_4991_3_helmet,0
0_5065_3_helmet,0
0_4565_3_helmet,0
1_7163_3_head,1
0_557_1_helmet,0
1_3402_3_head,1
0_502_1_helmet,0
1_6102_3_head,1
1_3360_2_head,1
1_2130_head,1
0_249_3_helmet,0
0_540_2_helmet,0
1_1934_2_head,1
0_2925_3_helmet,0
1_8090_3_head,1
0_2584_3_helmet,0
0_515_2_helmet,0
0_3084_3_helmet,0
0_2970_3_helmet,0
1_6893_3_head,1
1_2463_2_head,1
0_1007_2_helmet,0
1_4379_head,1
1_4238_2_head,1
1_1120_1_head,1
1_8212_3_head,1
1_2183_3_head,1
0_1052_2_helmet,0
1_4727_2_head,1
0_5900_3_helmet,0
1_2216_head,1
1_3680_3_head,1
0_5955_3_helmet,0
1_4045_3_head,1
1_2183_2_head,1
1_5024_3_head,1
1_3680_2_head,1
0_3515_3_helmet,0
0_2015_3_helmet,0
1_2812_2_head,1
0_3540_3_helmet,0
0_2040_3_helmet,0
0_727_3_helmet,0
1_2217_head,1
0_1789_2_helmet,0
1_2825_2_head,1
1_4072_2_head,1
1_1210_3_head,1
1_8058_3_head,1
1_1572_2_head,1
0_5285_3_helmet,0
1_5982_3_head,1
1_4710_3_head,1
0_1723_2_helmet,0
1_5013_3_head,1
0_1080_3_helmet,0
1_3677_head,1
0_3231_3_helmet,0
1_4710_2_head,1
0_2764_3_helmet,0
0_748_1_helmet,0
1_3411_head,1
1_3844_2_head,1
0_7034_3_helmet,0
0_6534_3_helmet,0
0_6995_3_helmet,0
0_7061_3_helmet,0
0_6561_3_helmet,0
1_1249_1_head,1
1_4633_3_head,1
0_1601_2_helmet,0
1_2906_2_head,1
1_2588_2_head,1
1_3794_2_head,1
1_3144_head,1
0_1654_2_helmet,0
1_4085_head,1
1_3967_3_head,1
1_976_1_head,1
1_2097_2_head,1
0_1108_3_helmet,0
1_2588_3_head,1
1_4151_3_head,1
0_628_2_helmet,0
0_695_1_helmet,0
1_4084_head,1
0_6416_3_helmet,0
1_6294_3_head,1
1_7088_3_head,1
1_1451_3_head,1
1_4633_2_head,1
1_1034_1_head,1
1_2097_3_head,1
0_174_3_helmet,0
0_682_2_helmet,0
0_2613_3_helmet,0
1_7919_3_head,1
0_2646_3_helmet,0
0_1679_3_helmet,0
0_5822_3_helmet,0
1_1003_1_head,1
1_4479_3_head,1
1_5665_3_head,1
0_4183_3_helmet,0
0_5888_3_helmet,0
0_1125_2_helmet,0
0_4129_3_helmet,0
0_1686_3_helmet,0
0_1170_2_helmet,0
1_3950_3_head,1
0_650_3_helmet,0
1_941_1_head,1
1_8453_3_head,1
0_3437_3_helmet,0
0_2137_3_helmet,0
0_605_3_helmet,0
0_2162_3_helmet,0
0_6332_3_helmet,0
0_3869_3_helmet,0
1_1466_2_head,1
1_5418_3_head,1
1_2931_2_head,1
0_6367_3_helmet,0
0_159_2_helmet,0
0_5907_3_helmet,0
1_2870_2_head,1
1_4271_head,1
0_1709_3_helmet,0
0_4059_3_helmet,0
0_1000_2_helmet,0
1_2683_3_head,1
0_1055_2_helmet,0
1_3811_3_head,1
0_775_3_helmet,0
1_4745_2_head,1
1_1527_3_head,1
0_2012_3_helmet,0
0_720_3_helmet,0
1_4027_3_head,1
1_4270_head,1
1_1038_3_head,1
1_296_3_head,1
1_3811_2_head,1
0_6217_3_helmet,0
1_2683_2_head,1
1_5724_3_head,1
0_6242_3_helmet,0
1_7858_3_head,1
1_3826_2_head,1
0_1724_2_helmet,0
0_1087_3_helmet,0
1_8247_3_head,1
1_1175_1_head,1
0_1771_2_helmet,0
1_4772_2_head,1
0_5282_3_helmet,0
0_4782_3_helmet,0
1_3519_head,1
0_7066_3_helmet,0
0_758_2_helmet,0
1_3989_head,1
1_3826_3_head,1
0_6566_3_helmet,0
0_5185__helmet,0
1_4010_2_head,1
1_1272_3_head,1
0_7099_3_helmet,0
0_2736_3_helmet,0
0_3236_3_helmet,0
1_2847_2_head,1
0_6599_3_helmet,0
1_6839_3_head,1
1_1510_2_head,1
1_4772_3_head,1
1_1308_1_head,1
0_3263_3_helmet,0
1_8364_3_head,1
1_1056_1_head,1
1_2797_2_head,1
1_4133_3_head,1
1_2284_head,1
0_2171__helmet,0
1_4651_2_head,1
1_3094_2_head,1
0_685_2_helmet,0
0_3314_3_helmet,0
0_638_1_helmet,0
0_173_3_helmet,0
1_8406_3_head,1
1_914_1_head,1
0_2641_3_helmet,0
0_3341_3_helmet,0
1_7297_3_head,1
1_4651_3_head,1
0_6411_3_helmet,0
0_692_1_helmet,0
1_3094_3_head,1
1_2285_head,1
0_7144_3_helmet,0
1_4133_2_head,1
1_2964_2_head,1
1_7788_3_head,1
0_1122_2_helmet,0
1_1404_2_head,1
1_61_3_head,1
0_1177_2_helmet,0
1_4104_2_head,1
1_2953_2_head,1
0_1681_3_helmet,0
0_1188_2_helmet,0
1_3932_3_head,1
1_8431_3_head,1
1_923_1_head,1
1_4895_2_head,1
0_5870_3_helmet,0
1_5318_3_head,1
0_6360_3_helmet,0
1_4666_2_head,1
1_3483_head,1
1_4895_3_head,1
1_5607_3_head,1
0_657_3_helmet,0
1_8353_3_head,1
1_1061_1_head,1
0_3465_3_helmet,0
0_3891_3_helmet,0
0_602_3_helmet,0
1_3932_2_head,1
0_1220_3_helmet,0
1_2261_head,1
0_1583_2_helmet,0
0_4525_3_helmet,0
0_5025_3_helmet,0
1_4168_head,1
1_6463_3_head,1
1_2893_2_head,1
1_3601_2_head,1
0_5070_3_helmet,0
0_4984_3_helmet,0
